director_name,actor_name,"gross,",eval
Barry Sonnenfeld,Delroy Lindo,72077000.0,6
Rob Marshall,Colm Feore,170684505.0,7
Dennis Dugan,Steve Buscemi,163479795.0,7
J.B. Rogers,Alyson Hannigan,145096820.0,7
John Lasseter,Tom Hanks,191796233.0,7
Jan de Bont,Keanu Reeves,121248145.0,7
Michael Sucsy,Channing Tatum,125014030.0,7
Tom Vaughan,Harrison Ford,11854694.0,5
Boaz Yakin,Ryan Gosling,115648585.0,7
John McTiernan,Scott Glenn,122012643.0,7
Lee Daniels,Alex Pettyfer,116631310.0,7
Rawson Marshall Thurber,Gary Cole,114324072.0,7
Barry Sonnenfeld,Anjelica Huston,113502246.0,7
Steve Oedekerk,Bruce Spence,108360000.0,7
Garry Marshall,Anne Hathaway,108244774.0,7
Hugh Wilson,Stockard Channing,105444419.0,7
David Fincher,Morgan Freeman,100125340.0,7
Neill Blomkamp,Sharlto Copley,115646235.0,7
Stephen Hillenburg,Scarlett Johansson,85416609.0,6
Clint Eastwood,John Doman,90135191.0,6
Clint Eastwood,Clint Eastwood,100422786.0,7
Harold Ramis,Robert De Niro,106694016.0,7
Nick Cassavetes,Ryan Gosling,64286.0,1
Anne Fletcher,Judy Greer,76806312.0,6
Peter Chelsom,Emily Osment,79566871.0,6
Stig Bergqvist,Elizabeth Daily,76501438.0,6
Barbra Streisand,George Carlin,74787599.0,6
Edward Zwick,Anthony Hopkins,66528842.0,6
Jason Reitman,J.K. Simmons,83813460.0,6
Alexander Payne,Hope Davis,65010106.0,6
Jonathan Levine,Cory Hardrict,66359959.0,6
Rian Johnson,Joseph Gordon-Levitt,66468315.0,6
Chris Weitz,Chazz Palminteri,64172251.0,6
Chris Noonan,Miriam Margolyes,66600000.0,6
David Frankel,Meryl Streep,63536011.0,6
Nicholas Stoller,Mila Kunis,62877175.0,6
John Singleton,Josh Charles,74484168.0,6
Michael McCullers,Tina Fey,60269340.0,6
Forest Whitaker,Bill Cobbs,60033780.0,6
Gary Winick,Anne Hathaway,58715510.0,6
Steven Brill,Antony Starr,58156435.0,6
Gary Winick,Jennifer Garner,56044241.0,6
Woody Allen,Kurt Fuller,56816662.0,6
Peter Lepeniotis,Liam Neeson,64238770.0,6
Ted Demme,Johnny Depp,52937130.0,6
Luis Mandoki,Robin Wright,52799004.0,6
William Shatner,Leonard Nimoy,55210049.0,6
John Schultz,Brenda Song,51432423.0,6
Peter Segal,George Kennedy,51109400.0,6
John Glen,Patrick Macnee,50300000.0,6
Steve Box,Mark Gatiss,56068547.0,6
Richard LaGravenese,Gerard Butler,53680848.0,6
Frederik Du Chau,Bruce Greenwood,49186871.0,5
Joe Wright,Benedict Cumberbatch,50921738.0,6
Gary Winick,Vanessa Redgrave,53021560.0,6
Ridley Scott,Stephen Root,45645204.0,5
Bobby Farrelly,Kate Upton,44328238.0,5
Tim Burton,Johnny Depp,53337608.0,6
James Gartner,Mehcad Brooks,42643187.0,5
Denis Villeneuve,Edgar Arreola,46875468.0,5
Antoine Fuqua,Jake Gyllenhaal,52418902.0,6
Sam Raimi,Bojana Novakovic,42057340.0,5
Lee Toland Krieger,Harrison Ford,42478175.0,5
Tim McCanlies,Haley Joel Osment,41407470.0,5
Jon M. Chu,Alyson Stoner,42385520.0,5
John Stockwell,Faizon Love,40118420.0,5
Marc Forster,Will Ferrell,40137776.0,5
David Slade,Danny Huston,39568996.0,5
Drew Goddard,Chris Hemsworth,42043633.0,5
Jason Friedberg,Carmen Electra,38232624.0,5
Martin Brest,Robert De Niro,38413606.0,5
Paul Michael Glaser,Yaphet Kotto,38122105.0,5
Frank Oz,Bill Murray,38747385.0,5
Joe Wright,Jessica Barden,40247512.0,5
John R. Leonetti,Brian Thompson,35927406.0,5
Tom Hanks,Tom Hanks,35565975.0,5
Kimberly Peirce,Chloë Grace Moretz,35266619.0,5
Liz Friedlander,Alfre Woodard,34703228.0,5
Phil Joanou,Dwayne Johnson,38432823.0,5
Sam Weisman,Bernie Mac,32095318.0,5
Shane Acker,Martin Landau,31743332.0,5
Steven Soderbergh,Channing Tatum,32154410.0,5
Martha Coolidge,Devin Ratray,28165882.0,5
Stephen J. Anderson,Craig Ferguson,26687172.0,5
Troy Miller,Elden Henson,26096584.0,5
Warren Beatty,Warren Beatty,26525834.0,5
Tate Taylor,Tika Sumpter,30513940.0,5
Carl Franklin,Meryl Streep,23209440.0,5
Brett Leonard,Denzel Washington,24048000.0,5
Ivan Reitman,Rainn Wilson,22526144.0,5
Scott Derrickson,Olivia Munn,30523568.0,5
Alister Grierson,Ioan Gruffudd,23070045.0,5
Nick Hurran,Holly Hunter,20422207.0,5
Nicholas Stoller,Alison Brie,28644770.0,5
Charles Stone III,Bernie Mac,21800302.0,5
Paul Haggis,Olivia Wilde,21129348.0,5
Kurt Wimmer,Milla Jovovich,18500966.0,5
Jean-François Richet,Brian Dennehy,19976073.0,5
Antoine Fuqua,Mira Sorvino,18967571.0,5
Kevin Hooks,Salma Hayek,17100000.0,5
Ellory Elkayem,Scarlett Johansson,17266505.0,5
Edward Zwick,Jake Gyllenhaal,32357532.0,5
Jon Avnet,Al Pacino,16930884.0,5
Niki Caro,Jeremy Renner,18324242.0,5
Howard Deutch,Bruce Willis,16323969.0,5
Vincenzo Natali,Sarah Polley,16999046.0,5
Willard Huyck,Lea Thompson,16295774.0,5
Gavin O'Connor,Jennifer Ehle,15709385.0,5
Bruce Hunt,Eddie Cibrian,14888028.0,5
Rob Reiner,David Paymer,14208384.0,5
Paul McGuigan,Jessica Paré,12831121.0,5
Craig Gillespie,Grace Phipps,18298649.0,5
Terrence Malick,Christian Bale,12712093.0,5
Chris Roberts,Saffron Burrows,11576087.0,5
Neil Jordan,Robert Downey Jr.,11900000.0,5
James Wong,Ian Whyte,9353573.0,4
Jee-woon Kim,Zach Gilford,12026670.0,5
Nick Hamm,Robert De Niro,14334645.0,5
Andy Cadiff,Annabella Sciorra,12189514.0,5
Mike Disa,Amy Poehler,10134754.0,5
Lasse Hallström,Morgan Freeman,8535575.0,4
Terry Gilliam,Andrew Garfield,7689458.0,4
Richard J. Lewis,Mark Addy,7501404.0,4
Brad Furman,Justin Timberlake,19316646.0,5
Peter Howitt,Tyler Labine,10965209.0,5
Edward Zwick,Denzel Washington,26830000.0,5
Sergio Leone,Robert De Niro,5300000.0,4
Niels Arden Oplev,Dominic Cooper,10880926.0,5
Michael Radford,Al Pacino,3752725.0,4
Neil Jordan,Emir Kusturica,3517797.0,4
Steve Boyum,Channing Tatum,3101301.0,4
Chris Noonan,Emily Watson,2975649.0,4
Kaige Chen,Dong-gun Jang,668171.0,3
Corey Yuen,Steve Howey,480314.0,3
Andrew Dominik,Brad Pitt,3904982.0,4
Li Zhang,Bingbing Li,127437.0,2
Laurent Tirard,Louise Bourgoin,,0
Simon West,Jason Statham,,0
Marc Forster,Gerard Butler,537580.0,3
Reinhard Klooss,Jim Broadbent,,0
Bille August,Terry Pheto,,0
Frédéric Auburtin,Fisher Stevens,,0
Olivier Dahan,Paz Vega,,0
Maksim Fadeev,Konstantin Khabenskiy,,0
Liliana Cavani,Ray Winstone,,0
Greg Tiernan,James Franco,,0
Elizabeth Banks,Anna Kendrick,183436380.0,7
James Mangold,Sandra Ellis Lafferty,119518352.0,7
Edward Norton,Lisa Edelstein,37036404.0,5
Peter Hewitt,Jim Broadbent,22359293.0,5
Ron Howard,Toby Jones,18593156.0,5
George Clooney,Dick Clark,,0
Reginald Hudlin,Matthew Perry,16930185.0,5
Ben Falcone,Peter Dinklage,63034755.0,6
Richard Attenborough,Denzel Washington,5899797.0,4
Lawrence Kasdan,Zooey Deschanel,4554569.0,4
Don Mancini,Jason Flemyng,17016190.0,5
John Maybury,Jennifer Jason Leigh,6301131.0,4
Ron Clements,Robin Williams,217350219.0,8
F. Gary Gray,Aldis Hodge,161029270.0,7
Steven Spielberg,Harrison Ford,179870271.0,7
Igor Kovalyov,Elizabeth Daily,100491683.0,7
Lee Tamahori,Morgan Freeman,74058698.0,6
Stephen Frears,Meryl Streep,,0
Robert Rodriguez,Johnny Depp,55845943.0,6
John McTiernan,Alan Rickman,81350242.0,6
David Wain,Joe Lo Truglio,67266300.0,6
Adam McKay,Ryan Gosling,70235322.0,6
Ang Lee,Imelda Staunton,7443007.0,4
Gavin O'Connor,Eddie Cahill,64371181.0,6
Zack Snyder,Ty Burrell,58885635.0,6
Adam Shankman,Matthew McConaughey,60400856.0,6
Shinji Aramaki,Shun Oguri,,0
Wes Anderson,Bill Murray,52353636.0,6
James Mangold,Clea DuVall,51475962.0,6
Jon Turteltaub,Robert De Niro,63910583.0,6
John Glen,Julian Glover,62300000.0,6
Peter Chelsom,Lilli Lavine,49968653.0,5
Peter Hyams,Mia Sara,44450000.0,5
Ben Stiller,Milla Jovovich,45162741.0,5
Lasse Hallström,David Lyons,71346930.0,6
Kenny Ortega,Vinessa Shaw,39514713.0,5
Scott Hicks,Zoë Kravitz,43097652.0,5
Matthew Vaughn,Elizabeth McGovern,48043505.0,5
Ruben Fleischer,Bianca Kajlich,37053924.0,5
Patrick Lussier,Gerard Butler,33000377.0,5
Miguel Arteta,Bella Thorne,66950483.0,6
Joe Wright,Talulah Riley,38372662.0,5
Ridley Scott,Harrison Ford,27000000.0,5
Michael Caton-Jones,Liam Neeson,31600000.0,5
McG,Connie Nielsen,30688364.0,5
James Gray,Robert Duvall,28563179.0,5
Janusz Kaminski,Philip Baker Hall,16779636.0,5
Jacques Perrin,Jacques Perrin,10762178.0,5
Donald Petrie,Samaire Armstrong,17324744.0,5
Jay Roach,Scott Grimes,8888143.0,4
Brian Levant,Madeline Carroll,24268828.0,5
Michael Ritchie,Mara Wilson,8119205.0,4
John Carpenter,Jason Statham,8434601.0,4
David Gordon Green,Dominic Flores,6998324.0,4
Burr Steers,Matt Smith,10907291.0,5
Martin Scorsese,Tenzin Thuthob Tsarong,5532301.0,4
Robert B. Weide,James Corden,2775593.0,4
Jeff Wadlow,Chloë Grace Moretz,28751715.0,5
Agustín Díaz Yanes,Viggo Mortensen,,0
Camille Delamarre,Paul Walker,20285518.0,5
John Glen,Louis Jourdan,67900000.0,6
Judd Apatow,Harold Ramis,148734225.0,7
Nick Cassavetes,Jason Patric,49185998.0,5
Malcolm D. Lee,Mo'Nique,42168445.0,5
David Lean,Richard Wilson,26400000.0,5
Richard Eyre,Phil Davis,17508670.0,5
Gavin Hood,J.K. Simmons,9664316.0,4
Nicholas Meyer,Leonard Nimoy,74888996.0,6
Callie Khouri,Ellen Burstyn,69586544.0,6
Jon Favreau,Scarlett Johansson,362645141.0,8
Gary Fleder,Morgan Freeman,60491560.0,6
John Landis,John Belushi,54200000.0,6
Sanaa Hamri,America Ferrera,44087387.0,5
Todd Graff,Dolly Parton,30920167.0,5
Chris Weitz,Sharon Small,40566655.0,5
Steve Miner,Oliver Platt,31768374.0,5
Paul McGuigan,Bruce Willis,22494487.0,5
Philip Kaufman,Dennis Quaid,21500000.0,5
Roland Emmerich,Vanessa Redgrave,4463292.0,4
Wolfgang Petersen,Gerald McRaney,,0
Alex Proyas,Rufus Sewell,14337579.0,5
Saul Dibb,Dominic Cooper,13823741.0,5
Walter Murch,Piper Laurie,,0
Richard Linklater,Matthew McConaughey,10297897.0,5
Christian Alvart,Bradley Cooper,13248477.0,5
E. Elias Merhige,Harry Lennix,8712564.0,4
Menno Meyjes,Oliver Platt,7486906.0,4
Robert Rodriguez,Alexa PenaVega,38536376.0,5
Jodie Foster,Julia Roberts,41008532.0,5
Ronny Yu,Meat Loaf,5204007.0,4
Joel Schumacher,Robert De Niro,4485485.0,4
Renny Harlin,LL Cool J,4476235.0,4
Barry Levinson,Robert De Niro,1089365.0,4
Norman Jewison,Charlotte Rampling,763044.0,3
Kenneth Branagh,Kim-Marie Woodhouse,,0
Steve Carr,Erick Avari,20819129.0,5
Mark Waters,Jamie Lee Curtis,110222438.0,7
Judd Apatow,Steve Carell,109243478.0,7
John Madden,Tom Wilkinson,100241322.0,7
Scott Frank,Liam Neeson,25977365.0,5
Ivan Reitman,Richard Tyson,91457688.0,6
David Gordon Green,James Franco,87341380.0,6
Andy Tennant,Anjelica Huston,65703412.0,6
Kevin Costner,Robert Duvall,58328680.0,6
Joel Schumacher,Julia Roberts,61490000.0,6
Richard Attenborough,Ryan O'Neal,50800000.0,6
Wes Craven,Robert Pine,57859105.0,6
David R. Ellis,Sarah Carter,46455802.0,5
Joel Coen,Holly Hunter,45506619.0,5
Scott Stewart,Dennis Quaid,40168080.0,5
Michael Bay,Dwayne Johnson,49874933.0,5
Paul Weitz,Scarlett Johansson,45489752.0,5
Jonathan Frakes,Michael Biehn,36985501.0,5
Lawrence Kasdan,Scott Glenn,33200000.0,5
Jim Sheridan,Natalie Portman,28501651.0,5
Kevin Allen,Daniel Roebuck,23222861.0,5
Garry Marshall,Robert De Niro,54540525.0,6
Michael Cristofer,Angelina Jolie Pitt,16252765.0,5
James McTeigue,Pam Ferris,16005978.0,5
Donald Petrie,Rip Torn,14469428.0,5
Andrew Morahan,Christopher Lambert,13829734.0,5
Bob Rafelson,Harold Perrineau,1075288.0,4
Michael Cohn,David Conrad,,0
Woody Allen,Woody Allen,7496522.0,4
David O. Russell,Jake Gyllenhaal,,0
Alan Shapiro,Paul Hogan,20047715.0,5
Tarsem Singh,Ryan Reynolds,12276810.0,5
Fernando Meirelles,Archie Panjabi,33565375.0,5
Mel Gibson,Christo Jivkov,499263.0,3
Chris Columbus,Robin Williams,219200000.0,8
Barry Levinson,Tom Cruise,172825435.0,7
Clint Eastwood,Clint Eastwood,148085755.0,7
Oliver Stone,Toby Jones,25517500.0,5
Pierre Morel,Liam Neeson,145000989.0,7
Michael Hoffman,Luke Bracey,26761283.0,5
Mick Jackson,Bill Cobbs,121945720.0,7
Steven Spielberg,Liam Neeson,96067179.0,6
Tate Taylor,Emma Stone,169705587.0,7
Bill Condon,Benedict Cumberbatch,3254172.0,4
Raja Gosnell,Sarah Michelle Gellar,84185387.0,6
Oleg Stepchenko,Jason Flemyng,,0
Ronny Yu,Katharine Isabelle,82163317.0,6
Michael Winterbottom,Cara Delevingne,,0
John A. Davis,Martin Short,80920948.0,6
Matt Reeves,Mike Vogel,80034302.0,6
Michael Pressman,Kevin Nash,78656813.0,6
Brian De Palma,Robert De Niro,76270454.0,6
Ethan Coen,Kelly Macdonald,74273505.0,6
Tim Story,Bruce McGill,134141530.0,7
Sharon Maguire,Colin Firth,71500556.0,6
Lasse Hallström,Lena Olin,71309760.0,6
Charles Herman-Wurmfeld,Mary Lynn Rajskub,89808372.0,6
Andy Fickman,Bailee Madison,77264926.0,6
Ivan Reitman,Natalie Portman,70625986.0,6
George P. Cosmatos,Michael Biehn,56505065.0,6
Andrzej Bartkowiak,Jet Li,55973336.0,6
Richard Donner,Lee Remick,,0
James Wong,Chelan Simmons,54098051.0,6
Scott Hicks,Blythe Danner,60443237.0,6
Gabor Csupo,Josh Hutcherson,82234139.0,6
Marc Forster,Johnny Depp,51676606.0,6
Tyler Perry,Alicia Witt,52528330.0,6
Joe Carnahan,Liam Neeson,51533608.0,6
John Polson,Robert De Niro,51097664.0,6
Adam McKay,Darcy Donavan,84136909.0,6
Martin Scorsese,Robert De Niro,46836394.0,5
Harald Zwart,Daniel Roebuck,47285499.0,5
Kirk Jones,Colin Firth,47124400.0,5
Brian De Palma,Al Pacino,44700000.0,5
Steve Oedekerk,Kelly Preston,44455658.0,5
Bernardo Bertolucci,Cary-Hiroyuki Tagawa,43984230.0,5
Baltasar Kormákur,J.K. Simmons,66489425.0,6
Brett Ratner,Heather Locklear,41067398.0,5
Paul Thomas Anderson,Jim Meskimen,40218903.0,5
Cathy Malkasian,Alfre Woodard,39880476.0,5
John Eng,Elizabeth Daily,39399750.0,5
Malcolm D. Lee,Dave Chappelle,38230435.0,5
Ken Kwapis,Mike Vogel,39008741.0,5
Chris Nahon,Jet Li,36833473.0,5
Fred Wolf,Emma Stone,48237389.0,5
Bille Woodruff,Alfre Woodard,36310118.0,5
Craig Gillespie,Jon Hamm,36447959.0,5
Phillip Noyce,Jeff Bridges,45089048.0,5
Dennie Gordon,Colin Firth,35990505.0,5
Victor Salva,Nicki Aycox,35143332.0,5
Mark Helfrich,Dane Cook,35000629.0,5
Andrzej Bartkowiak,Jet Li,34604054.0,5
Stephen Daldry,Meryl Streep,41597830.0,5
Andy Fickman,Channing Tatum,33687630.0,5
Steve Bendelack,Lily Atkinson,32553210.0,5
Dwight H. Little,Nicholas Gonzalez,31526393.0,5
Guillaume Canet,Mila Kunis,41229.0,1
Kirsten Sheridan,Robin Williams,31655091.0,5
Shekhar Kapur,Fanny Ardant,30012990.0,5
Ronny Yu,Alexis Arquette,32368960.0,5
Richard Fleischer,Joseph Cotten,14500000.0,5
Bob Spiers,Jason Flemyng,29247405.0,5
David Gordon Green,Ari Graynor,30538669.0,5
Damien Dante Wayans,Damon Wayans Jr.,25615792.0,5
Frank Darabont,Morgan Freeman,28341469.0,5
Simon Wincer,Jere Burns,25590119.0,5
Bobby Farrelly,Bill Murray,24944213.0,5
Rupert Wyatt,George Kennedy,33631221.0,5
John Wells,Benedict Cumberbatch,37738400.0,5
Tim Fywell,Connie Ray,24381334.0,5
Nigel Cole,Aimee Garcia,21835784.0,5
Dexter Fletcher,Hugh Jackman,15785632.0,5
Spike Lee,Denzel Washington,21554585.0,5
Jeremy Leven,Johnny Depp,22200000.0,5
Lasse Hallström,Channing Tatum,80014842.0,6
Sylvain White,Chris Evans,23527955.0,5
Troy Nixey,Bailee Madison,24042490.0,5
Philip G. Atwell,Jason Statham,22466994.0,5
Paul Thomas Anderson,Adam Sandler,17791031.0,5
Jeff Schaffer,Matt Damon,17718223.0,5
Don Michael Paul,Claudia Christian,15361537.0,5
Paul Feig,Tyler James Williams,16647384.0,5
James Bridges,Dianne Wiest,16118077.0,5
Steve Barron,Martin Landau,15091542.0,5
Bill Paxton,Stephen Dillane,15331289.0,5
Richard Kelly,Frank Langella,15045676.0,5
Carter Smith,Laura Ramsey,17427926.0,5
John Schlesinger,Mark Valley,14983572.0,5
Wes Craven,Frank Grillo,14637490.0,5
Luke Greenfield,Chris Marquette,14589444.0,5
Ringo Lam,Natasha Henstridge,14095303.0,5
Bruce McCulloch,Martin Starr,13973532.0,5
Brian Helgeland,Tom Hardy,1865774.0,4
Akiva Schaffer,Sissy Spacek,13920741.0,5
David R. Ellis,Chris Zylka,18860403.0,5
Alan Parker,Emily Watson,13038660.0,5
Ivan Reitman,Jennifer Garner,28831145.0,5
Tobe Hooper,Frank Finlay,,0
Robert Redford,Robin Wright,11538204.0,5
Catherine Hardwicke,Heath Ledger,11008432.0,5
Patricia Riggen,Marco Treviño,12188642.0,5
John Carpenter,Victor Wong,11100000.0,5
Pascal Chaumeil,Dany Boon,,0
Gavin O'Connor,Tom Hardy,13651662.0,5
Neil Jordan,Alan Rickman,11030963.0,5
Ron Maxwell,Tom Berenger,10769960.0,5
Kimberly Peirce,Joseph Gordon-Levitt,10911750.0,5
Stephen Gaghan,Charlie Hunnam,10719367.0,5
Jonathan Kaplan,John Doe,10114315.0,5
Ole Bornedal,Kyra Sedgwick,49122319.0,5
Richard Benjamin,Brendan Fraser,10070000.0,5
Rod Lurie,Alexander Skarsgård,10324441.0,5
Lasse Hallström,Hope Davis,7156933.0,4
Craig R. Baxley,Brian Bosworth,9286314.0,4
John Hillcoat,Viggo Mortensen,56692.0,1
John Guillermin,Tanya Roberts,,0
Marcos Siega,Cheech Marin,5654777.0,4
J.B. Rogers,Eddie Cibrian,5516708.0,4
Roger Donaldson,Anthony Hopkins,5128124.0,4
David R. Ellis,Lin Shaye,34014398.0,5
Rachel Talalay,Naomi Watts,4064333.0,4
Jeffrey W. Byrd,Donald Faison,4006906.0,4
Fernando Meirelles,Don McKellar,3073392.0,4
Uwe Boll,Meat Loaf,1550000.0,4
Roman Polanski,Kate Winslet,,0
Atom Egoyan,Colin Firth,871527.0,3
Andrew Adamson,Dallas Barnett,12495865.0,5
Robert Towne,Billy Burke,777423.0,3
Richard Linklater,Zoe Kazan,1186957.0,4
Giuseppe Tornatore,Jim Sturgess,85433.0,1
Werner Herzog,Nicolas Cage,1697956.0,4
Ben Stassen,Ed Begley Jr.,,0
Guillaume Canet,François Cluzet,183662.0,2
Taylor Hackford,Scout Taylor-Compton,134904.0,2
Jérôme Deschamps,Yolande Moreau,,0
Inna Evlannikova,Sergey Garmash,,0
Ridley Scott,Michael Fassbender,16969390.0,5
Jonathan English,Jason Flemyng,,0
Sergey Bondarchuk,Rod Steiger,,0
Teddy Chan,Siu-Wong Fan,129115.0,2
Mario Van Peebles,Martin Kove,,0
Stephen Frears,Keanu Reeves,34700000.0,5
Walter Salles,Kristen Stewart,717753.0,3
Leonard Nimoy,Leonard Nimoy,109713132.0,7
Sylvester Stallone,Sylvester Stallone,70269171.0,6
Ericson Core,Ray Winstone,28772222.0,5
Wes Craven,Omar Epps,101334374.0,7
Gavin O'Connor,Natalie Portman,1512815.0,4
Tim Story,Romany Malco,65182182.0,6
Jonathan Lynn,Bruce Willis,57262492.0,6
Herbert Ross,Dianne Wiest,80000000.0,6
Todd Phillips,Will Ferrell,74608545.0,6
Terry Gilliam,Jeff Bridges,41895491.0,5
Danny Cannon,Muse Watson,39989008.0,5
Bonnie Hunt,Minnie Driver,32662299.0,5
Kevin Smith,Gerry Bednob,31452765.0,5
Neil LaBute,Morgan Freeman,25167270.0,5
Grant Heslov,Kevin Spacey,32416109.0,5
George Gallo,Daniel Roebuck,20218.0,1
James Mangold,Angelina Jolie Pitt,28871190.0,5
Robert Luketic,Topher Grace,16964743.0,5
Tim Hill,Josh Charles,16290976.0,5
Sidney Lumet,Lena Horne,13000000.0,5
Brian Robbins,Oliver Platt,12372410.0,5
Ron Shelton,Willie Garson,8427204.0,4
Douglas McGrath,Olivia Munn,9639242.0,4
Alexandre Aja,Adam Scott,25003072.0,5
Kevin Spacey,Kevin Spacey,6144806.0,4
Steve Boyum,Paul Walker,4308981.0,4
Richard Williams,Donald Pleasence,669276.0,3
Mary McGuckian,Robert De Niro,42880.0,1
George Tillman Jr.,Dwayne Johnson,23225911.0,5
Hayao Miyazaki,Christian Bale,4710455.0,4
Ruben Fleischer,Emma Stone,75590286.0,6
Peter Jackson,Naomi Watts,218051260.0,8
Frank Coraci,Adam Sandler,161487252.0,7
Irvin Kershner,Harrison Ford,290158751.0,8
Michael Bay,Will Smith,65807024.0,6
David Zucker,George Kennedy,86930411.0,6
James Wong,Daniel Roebuck,53302314.0,6
George Clooney,Ryan Gosling,40962534.0,5
David Twohy,Vin Diesel,39235088.0,5
Tony Goldwyn,Hugh Jackman,27338033.0,5
Spike Jonze,Scarlett Johansson,25556065.0,5
Dexter Fletcher,Hugh Jackman,15785632.0,5
John Dahl,Paul Walker,21973182.0,5
Jonathan Newman,Ioan Gruffudd,4756.0,1
Wayne Wang,Natalie Portman,18653615.0,5
Andy Cadiff,Annabella Sciorra,12189514.0,5
Michael Dinner,Seymour Cassel,13019253.0,5
Steven Soderbergh,Channing Tatum,18934858.0,5
Joseph Sargent,Judith Barsi,20763013.0,5
Jerry Zaks,Leonardo DiCaprio,12782508.0,5
Fred Durst,Tasha Smith,11508423.0,5
Neil Jordan,Stephen Rea,10660147.0,5
Simon Wincer,Vanessa Williams,7434726.0,4
Paul Haggis,James Franco,6777589.0,4
Anne Fontaine,Alessandro Nivola,6109075.0,4
Jon Cassar,Demi Moore,,0
Stephen Frears,Tom Burke,2708188.0,4
Mira Nair,Romola Garai,16123851.0,5
Teddy Chan,Bingbing Fan,,0
Mikael Håfström,Drew Powell,71975611.0,6
Mel Brooks,Joan Rivers,38119483.0,5
Russell Crowe,Cem Yilmaz,4190530.0,4
Jerry Zucker,Demi Moore,217631306.0,8
Bobby Farrelly,Sarah Silverman,176483808.0,7
John Pasquin,Judge Reinhold,144833357.0,7
John Lee Hancock,Dennis Quaid,75597042.0,6
Andy Fickman,Dwayne Johnson,90636983.0,6
Clint Eastwood,Clint Eastwood,70960517.0,6
Luke Greenfield,Louis Lombardi,55762229.0,6
Richard Attenborough,Candice Bergen,,0
Lasse Hallström,Manish Dayal,54235441.0,6
Irwin Winkler,Ken Howard,50728000.0,6
Jessie Nelson,Dianne Wiest,40270895.0,5
Christopher Spencer,Roma Downey,59696176.0,6
Len Wiseman,Sophia Myles,51483949.0,6
Mikael Håfström,Denis O'Hare,36020063.0,5
Steven Soderbergh,Matt Damon,33313582.0,5
Richard Attenborough,Anthony Hopkins,25842000.0,5
Mike Bigelow,Carlos Ponce,22264487.0,5
Ken Scott,Jack Reynor,30659817.0,5
Paul McGuigan,Daniel Radcliffe,5773519.0,4
Susanna White,Radivoje Bukvic,3108216.0,4
Dennis Dugan,Amanda Detmer,19351569.0,5
David Bowers,Zachary Gordon,49002815.0,5
Spike Lee,Mira Sorvino,19283782.0,5
Kevin Smith,Will Ferrell,30059386.0,5
Michael Bay,Scarlett Johansson,35799026.0,5
Daniel Sackheim,Chris Noth,17951431.0,5
Ethan Coen,Scarlett Johansson,29997095.0,5
Harry Elfont,Rosario Dawson,14252830.0,5
Gary Fleder,Jason Statham,19783777.0,5
Uli Edel,Richard E. Grant,13555988.0,5
David O. Russell,Naomi Watts,12784713.0,5
Fred Dekker,CCH Pounder,10696210.0,5
Brian Trenchard-Smith,Michael Biehn,5974653.0,4
Blake Edwards,Rock Hudson,5000000.0,4
Hugh Wilson,Brendan Fraser,9694105.0,4
Camille Delamarre,Ed Skrein,16027866.0,5
Laurence Dunmore,Johnny Depp,4829497.0,4
Paul Verhoeven,Michiel Huisman,4398392.0,4
Christian Carion,Gary Lewis,1050445.0,4
David Palmer,Bradley Cooper,13746550.0,5
Callie Khouri,Stephen Root,20668843.0,5
Rowan Joffe,Colin Firth,2963012.0,4
William Friedkin,Roy Scheider,,0
John Curran,Robert De Niro,1796024.0,4
Laurent Tirard,Romain Duris,634277.0,3
Scott Cooper,Christian Bale,11326836.0,5
Tony Gilroy,Tom Wilkinson,49024969.0,5
Peter Segal,Wilford Brimley,22294341.0,5
Mark Pellington,Jeff Bridges,24362501.0,5
Juan José Campanella,Pablo Rago,,0
Woody Allen,Ornella Muti,16684352.0,5
Clint Eastwood,Clint Eastwood,46700000.0,5
Trey Parker,Minnie Driver,52008288.0,6
Frank Oz,Peter Dinklage,8579684.0,4
Stuart Gillard,Paige Turco,42660000.0,5
Brian Robbins,Keanu Reeves,40219708.0,5
David O. Russell,Jennifer Lawrence,132088910.0,7
Richard LaGravenese,Hunter Parrish,36581633.0,5
Tyler Perry,Omari Hardwick,37721949.0,5
Louis Leterrier,Jason Statham,25296447.0,5
Jeff Wadlow,Djimon Hounsou,24848292.0,5
Katt Shea,Jason London,17757087.0,5
Sam Mendes,Catherine O'Hara,9430988.0,4
Joshua Michael Stern,Madeline Carroll,16284360.0,5
Brad Silberling,Jake Gyllenhaal,6830957.0,4
Tomas Alfredson,Benedict Cumberbatch,24104113.0,5
John Duigan,Elaine Hendrix,15593.0,1
Jodie Foster,Jennifer Lawrence,958319.0,3
Colin Higgins,Dolly Parton,69700000.0,6
David Cronenberg,Jennifer Jason Leigh,2840417.0,4
Steven Spielberg,Harrison Ford,242374454.0,8
Chris Columbus,Macaulay Culkin,173585516.0,7
Steven Spielberg,Bob Balaban,128300000.0,7
Jim Sonzero,Ian Somerhalder,20259297.0,5
Tony Scott,Dean Stockwell,153665036.0,7
Adam Shankman,Angus T. Jones,132541238.0,7
Jonathan Demme,Anthony Hopkins,130727000.0,7
Penelope Spheeris,Tia Carrere,121697350.0,7
Jeff Tremaine,Bam Margera,117224271.0,7
Jeannot Szwarc,Roy Scheider,102922376.0,7
Raja Gosnell,Jamie Lee Curtis,94497271.0,6
